sentence,emotion
Abur cubur olduğunu sanıp olmadığını gördüğümde üzüldüm.,sadness
Tuvaletin kirli bırakılmasından tiksinirim.,disgust
Annemin ben dizi izlerken beni rahatsız etmesine.,anger
Otobüste tacize uğrayan bir kadın görünce adama çok sinirlenmiş ve tepki göstermiştim.,anger
Ailece tatile gitmemiz huzurdur.,happiness
Evde gördüğüm böceklerden tiksiniyorum.,disgust
Trafik kazası geçirmek.,fear
"kavga eden çocukları ayırması, bunun kötü olduğu konusunda uyarması gerekirken çocukları tokatlayan adama çok sinirlendim. onu elime geçirirsem yapacağımı biliyorum.",anger
Okul kantinindeki yemeklerden.,disgust
Birisi mayonez yerken gördüğümde.,disgust
"Markanın açılımı ise ""United States Polo Association""dur .",neutral
Din sınavından 50 aldığım zaman.,sadness
Anneannemin vefatı içimi çok acıttı.,sadness
Birisinin yanımda kusması.,disgust
karanlık beni korkutur.,fear
Birisinin din hakkında saçma konuşması.,anger
Aksine özgürlükçü tutumunu duymuş olduğum bir isim .,neutral
Bilgisayarımın bazı oyunları kaldırmaması.,sadness
bütünleme sınavına kalınca çok üzüldüm,sadness
Ailemden birinin üzüntülü olması beni çok üzer.,sadness
Sırrımı verdiğim bir arkadaşım başkasına söylemişti.,anger
Fizik sınavı.,fear
Birisinin bana yalan söylemesi.,anger
Bunun yanında her kullanıcı kendi ihtiyaçları ve kodlama bilgisi doğrultusunda temalar üretip kullanabilmektedir .,neutral
Her kültürün kendisine has mimari özellikleri vardır .,neutral
İnsanlar ikiyüzlülük yapınca çileden çıktım.,anger
Karanlıktan korkarım.,fear
Kötü kokan şeylerden. Mesela çürümüş et.,disgust
Kahvaltıda hep kusacağımı düşünürüm.,disgust
Değer verdiğim insanların kırıcı davranışları.,sadness
Nefret ettiğim insanları görünce tiksiniyorum.,disgust
Üç yaşındayken annesi Katolikliğe geçince o da Katolik oldu .,neutral
Beşiktaş maç kazandığı zaman.,happiness
Yolun hemen başında iken bir Haçlılar erzak ve iaşe arama birliği ile çatışmaya girişti .,neutral
İstediğim bir şeyin olmaması.,sadness
Anlamayan birisine laf anlatmak.,anger
ilişkilerdeki ikiyüzlülük.,anger
Genellikle tezat karakter diğer karakterlerden büyük ölçüde farklılık gösterir .,neutral
dedem aniden vefat ettiğinde üzülmüştüm,sadness
Her an insanlardan tiksiniyorum.,disgust
Altınoluk ile de feribot seferlerinin başlatılması için çalışmalar yapılmaktadır .,neutral
Kariyerine Hayat Sırları dizisi ile devam etti .,neutral
Alayın teşkilat yapısı daha sonra kurulacak olan Cumhuriyetçi Ordunun teşkilat yapısı için örnek olmuştur .,neutral
Araba kazası geçirmek.,fear
"""Fenerbahçe'nin"" ""Real Madrid'e"" 100 sayı atması.",happiness
Bir kaç yıl önce Foça'da bomba patlamıştı.Babamı aradığımda haberci asker babamın hastanede olduğunu söylemişti ama niçin oraya gittiğini söylememişti.Daha sonra neler olduğunu anlatmasını istediğimde yaralı askerleri kontrole gittiğini öğrenmiştim.o an çok korkmuştum.,fear
Şapırdatarak yemek yenmesi.,disgust
Sevdiğim birini kayıp etmek.,sadness
Turnuva üçüncü defa ev sahibi ülke olmadan oynanmıştır .,neutral
anneme aldığım hediye kırılınca mahvoldum.,sadness
Uzun bir zamandır görüşmediğim bir arkadaşımla buluşmak.,happiness
İnsanların yerlere tükürmelerinden tiksinirim.,disgust
Bazı durumlarda babama yakalanmaktan korkarım.,fear
gece deprem oldu. Sarsıntıya uyandım ve kendimi masanın altında titrerken buldum,fear
doğum günümde annemin istediğim kolyeyi aldığını görünce çok mutlu oldum.,happiness
Sokağa tüküren insan gördüğüm zaman.,disgust
internetin kesilmesine üzülürüm,sadness
Bazen diğer evcil ve yabani memelilerde de bulunabilir .,neutral
Dikey geçiş sınavında derece yaptığımı öğrendiğimde mutlu olmuştum.,happiness
Örümceklerden.,fear
ailemi kaç ay görmeyince duyduğum hüzünle dolu özlem duygusu,sadness
Yemeği kendim yaptığım an.,happiness
Önemli sınavlarda başarılı olup basit sınavlarda başarısız olduğum zaman.,sadness
Annem hastalanınca korktum.,fear
Şehit haberleri.,sadness
Sıraların altındaki çöpler.,disgust
sevdiklerimi kaybetmekten korkuyorum,fear
biri kusunca,disgust
Müdür ona çok büyük bir sırrı öğrendiğini söyler .,neutral
Sınav açıklandığında.,fear
Yemeğime sinek konduğunda tiksinirim.,disgust
Sınıfta boş konuşan arkadaşlarımdan iğreniyorum.,disgust
yanlış ödevi yüklediğimi fark ettiğim an.,fear
"Yetenek yarışmasından elendiğimde canım sıkılır,",sadness
Sevdiğim bir dersten düşük not almak.,sadness
İnsanların sokağa tükürmesi ve çöp atması beni deli ediyor .birde ter kokan insanlardan tiksiniyorum,disgust
Bugün nadiren de olsa Barok müzikte ve Klasik Türk müziğinde kullanılmaktadır .,neutral
Sınavda derece yapınca mutlu olurum.,happiness
Kedilerden çok korkarım.,fear
İyi geçtiğini sandığım sınavdan düşük not aldığım da üzüldüm.,sadness
İbn Bibi ise Rum asıllı bir köle olduğunu yazmıştır .,neutral
Osmanlı devletinde basımevi kurup Türkçe kitap yayımlayan ilk kişidir .,neutral
Olayın duyulması üzerine devletin tüm kurumları harekete geçerek Cevizli’ye acil yardım malzemeleri gönderilir .,neutral
Budin kalesinin fethinden sonra Osmanlı Ordusu Avusturya üzerine yürüdü .,neutral
Okula gitmek zorunda olduğum günler.,sadness
Sevdiğim birinden güzel sözler duyunca çok mutlu oluyorum.,happiness
Sınavlar.,fear
"civciv, balık ve benzeri hangi hayvan ölürse ölsüm çok üzüldüm. bir süre sonra hayvan almamaya ve bakmamaya başladım. Ölmelerini kaldıramıyorum hiçbir şekilde",sadness
Daire içerisinde ülke ismine de atfen palmiye ağacı bulunmaktadır .,neutral
İnsanlar birbirine yalakalık yapınca tiksinti duyarım,disgust
suçluyken suçsuz gibi üste çıkan insanlar olunca öfkeleniyorum.,anger
Çalışmadığım zamanlar öğretmenin soru sorması.,fear
sevgilimin her seni seviyorum demesi ve arkadaşlarımın bana karşı sevgilerini göstermesi,happiness
Yalnız kalmak.,fear
Sınav notlarım iyi geldiğinde ve herkes beni anladığımda mutlu olurum.,happiness
Oda arkadaşlarımın ortak kullanım alanlarını pis ve dağınık bırakmasından nefret ediyorum.,anger
Bir kediye sahiptim fakat şu an annem bakamadığı için arkadaşına verdi. onu çok özlüyorum.,sadness
üniversite sınavında beklemediğim bir notu aldığımda çok üzüldüm.,sadness
Geçen gece odada yalnız kaldım ve sabah ışıklarını görene kadar uyuyamadım.,fear
Biri bana sürekli ne yapacağımı söylerse öfkelenirim.,anger
Galatasaray'ın çeyrek finalde elenmesi.,sadness
Birinin bana bağırmasına öfkelenirim.,anger
Karanlık fobim var.,fear
birinci sınıfta annem beyin ameliyatı olmuştu.,sadness
Mürettebatın gemiyi terk etmesini sağladı ve top ateşiyle gemiyi batırdı .,neutral
Yurda hırsız girdiğinde.,fear
Meydanda Neptün havuzu ve havuzda da Neptün heykeli vardır .,neutral
Filmin sonunda Carter ölür ve Alex ile Clear kurtulur .,neutral
Beklediğimden yüksek not almıştım.,happiness
banyoda kocaman örümceği görünce korktum,fear
Karşıma aniden köpek çıktığı zaman.,fear
Martının ağzından çıkardığı kusmuk benzeri şeyi gördüğüm zaman.,disgust
Polis öğrencilere şiddet uyguladı ve tüm toplantılar yasakladı .,neutral
Böceklerden tiksinirim.,disgust
yanlış anlaşıldığımda ya da çok istediğim bir şey gerçekleşmeyince öfkelenirim.,anger
Ölüm tehlikesi atlattığımda.,fear
Haksızlık yapılmasına.,anger
Tuvaletlerin kötü kokusu.,disgust
Savaşın son yılında mini denizaltı filosunun baş kumandanı oldu .,neutral
dedem öldüğünden beri hayatımdaki her şey beni daha çok üzüyor.,sadness
Eve kedi aldığımızda mutluluktan uçmuştum,happiness
birinin kötü kokan nefesini koklamak,disgust
Matematik sınavlarından.,fear
"""emre belezoğlu"" ndan nefret ediyorum ırkçı pislik.",anger
Yanımda oturan arkadaşımın sırayı benim istediğim gibi tutmamasına çok öfkeleniyorum.,anger
sınavlardan yüksek aldığım zaman mutlu olurum.,happiness
Yapmadığım bir şey yüzünden suçlanmak.,anger
Kusma sesinden tiksinirim.,disgust
Karanlıktan korkarım.,fear
4. sınıfta otelde ablamın dışarı çıkarken oda kartını alınca elektrikler kesilince çok korkmuştum.,fear
"Böcekler, Örümcek ağı ve ağzıyla tırnak kopartılması.",disgust
Fizik öğretmenimin anlatımına kötü diyenlere kızıyorum.,anger
Örneğin bir istemci aynı anda iki arama işlemini aynı anda yapabilir .,neutral
Sınavlardan düşük not alınca.,sadness
Bu birimlerin bazıları ve metre olarak karşılıkları aşağıda verilmiştir .,neutral
"İberya Krallığının ayrılmaz parçası olan ""Gogarene""nin ismi bu halktan türemiştir .",neutral
"""YGS'de"" ""Türkiye"" çapında ilk 500 e girdiğimde.",happiness
arkadaşımdan ayrıldığımda çok üzülmüştüm.,sadness
Keçiörengücü hiçbir karşılaşmada görev almadan bir sezon kaldı .,neutral
yıllardır beraber vakit geçirdiğim arkadaşlarımın beni satmasına öfkeliyim,anger
Aldığım marulun içinden salyangoz çıktığı an.,disgust
Geçen dönem notlarımın hepsi iyi olduğu için çok mutlu oldum.,happiness
Bu deneme ve iyileştirme döngüsü yeterince güçlü bir inhibitör bulunana kadar tekrar edilir .,neutral
Kozmopolit bir ticari merkez olarak gelişen şehirde bağımsız yargı kurumları bulunmaktaydı .,neutral
kızların nazik olmasından tiksiniyorum,disgust
Asla kabul etmez dediğim teklifin kabul olmasına.,happiness
Samuray eğitimlerine ağırlık verilmesinin yanı sıra olası karaya çıkma noktalarına duvar inşaatına başlandı .,neutral
Küçükken pazarda kaybolmuştum.,fear
ummadığım kişilerden olumlu yorumlar duyunca çok mutlu oldum.,happiness
Deprem gibi doğal afetlerden korkarım.,fear
bu okula ilk geldiğimde ne kadar mutlu olduğumu anlatamam.,happiness
Bu yaklaşımda bilinçaltı kavramına çok önem verilir .,neutral
Arkadaşımın benim için şiir okuması.,happiness
"Sevdiklerimi kaybetmekten, karanlıktan ve turnikelerden geçmekten korkuyorum.",fear
Gazi Eğitim Enstitüsü Beden Eğitimi ve Spor Bölümünden mezun oldu .,neutral
Ninemlerde kalınca gece hırsızla karşılaşınca korkmuştum.,fear
"Onun bir sonraki geri dönüşü ise ""Venus"" markasının yeni Global Temsilcisi olmasıydı .",neutral
Arkadaşım doğum gününü okulda kutlamıştı.Kendiminkini hasta olduğum için kutlamamıştım bu yüzden mutlu oldum.,happiness
TEMİZLİK TAKINTIM VAR. TEMİZLİĞE DİKKAT ETMEYEN İNSANLARDAN ÇOK İĞRENİYORUM.,disgust
Bu albüm yurt dışında da piyasaya çıktı .,neutral
"""Lakerdeta"" yediğimde tiksindim.",disgust
Yüzüme baka baka yalan söylenmesi.,anger
Arkadaşımın yalan yanlış arkamdan konuşmasına.,anger
kocamın sürpriz olarak gezi ayarlaması,happiness
Açık denizde suyun dibini göremediğim zaman.,fear
Oğlumun ateşi yükselip düşmediğinde çok korktum,fear
Kurban bayramlarında kandan tiksiniyorum.,disgust
karşımdaki verdiği sözü tutmadığı zaman öfkelenirim.,anger
Buradaki başarılı çalışmalarından dolayı Ferik rütbesine terfi etti .,neutral
Telefonum düşüp kırıldığında.,sadness
Basket maçını kazandığımızda mutlu oldum.,happiness
genç bir yakınımı kaybettiğimde çok üzülmüştüm.,sadness
En yakın arkadaşım okula gelmediği zaman.,sadness
Arka gövde de kavisli bir tasarıma sahiptir .,neutral
"Yasa da ""anayasaya aykırı olduğu"" için Anayasa Mahkemesi tarafından iptal edildi .",neutral
Pis kokunca tiksinirim.,disgust
Bir arkadaşımın yanlış anlama sonucu bana kötü davranmasına çok öfkelenmiştim.,anger
Hava Hava İkmal Bakım Merkezi Komutanlığı tarafından üretilmiştir .,neutral
Yemeğin içinden kıl çıkması.,disgust
Gönüllü işçilik için yapılan propaganda çalışması artarak sürer .,neutral
Ayrıca kasabanın gelişiminin verimli araziler üzerine değil dağ yolu tarafına geliştirilmesi gereklidir .,neutral
Can çekişme.,fear
Ailem ya da arkadaşlarımla eğlenceli vakit geçirdiğimde.,happiness
Hırslarıma yenildiğim zaman üzülüyorum.,sadness
kocaman sivilcesi olanın sivilcesi sıkıldığında.,disgust
Biyoloji sınavından 39 aldığım zaman.,sadness
"üniversiteyi kazanamadığım ilk yıl arkadaşlarımın çoğu kazanmıştı, bazıları kazanamamıştı ama sonuçlar açıklandığı an çok üzülüp ağlamıştım.",sadness
yemeğimden kıl çıktığında iğrenirim.,disgust
Boş olan derste sınıftan dışarı çıkamamak.,anger
En yakın arkadaşım bana yalan attığı zaman.,anger
söylediğim bir şeyi karşımdaki anlamayınca çok sinirlenirim.,anger
Sevdiğim kızı kaybetmekten korkmuştum.,fear
Kennedy birçok film müziğine de imza attı .,neutral
Matematik sınavından 28 aldığım zaman.,sadness
Antik Makedonya Krallığı’nın kurulduğu ve Büyük İskender’in doğduğu yerdir .,neutral
Sınav öncesi kendimi tam hazır hissedince mutlu olurum.,happiness
kedim aniden öldüğünde canım çok yandı,sadness
Çocukken sahip olduğum köpek aniden öldüğünde çok üzüldüm.,sadness
Mora Despotu Konstantinos da tüm birlikleriyle surların gerisinde savunma pozisyonu almıştı .,neutral
Yeni aldığım telefonu 1 hafta içinde kırdığımda çok üzülmüştüm.,sadness
İlk kez bakkala gittiğimde çok korkmuştum.,fear
Değer verdiğim insanları kaybetmekten korkarım.,fear
Tarihinde ilk defa Osmanlıspor Uefa Avrupa Ligine katılmaya hak kazandı .,neutral
Korku videosu izlediğimde.,fear
Sınavda cevap kağıdında kaydırma yapmaktan korkuyorum.,fear
Hamam böceği gördüğüm zaman.,disgust
Aynı yıl Küba’daki diktatör Gerardo Machado’ya karşı girişilen ayaklanmaya katılır .,neutral
"Bütünlemelerin kalkması, Çocuk ölümleri, Kadınlara şiddet, Maddi dengesizlik, Devlet yapısı, Bağnaz düşünceler , Küresel kirlilik.",anger
Ağzını şapırdatarak yemek yenmesi.,disgust
Sevdiğim bir insanı çok basit bir nedenden  veya bir yalan yüzünden kaybetmekten çok korkarım.,fear
Türk Silahlı Kuvvetleri Altın Üstün Cesaret ve Feragat Madalyası sahibidir .,neutral
Yine mi ödev! Hep ödev hep ödev!,anger
3 AYDA 10 KİLO ALMAK BENİ BENDEN ALDI :(,sadness
Paris Ticari Bilimler Yüksek Okulu ve Ulusal İdare Okulu mezunudur .,neutral
"ülkemin sürekli bir kaos ve savaş ortamına itilmesine, çocuklarımıza iyi bir ülke bırakamayacağımıza üzülüyorum.",sadness
küçükken dişim çekilirken çok korktum.,fear
Kedim öldüğü zaman üzüldüm.,sadness
arkadaşımın hastalanmasına çok üzüldüm.,sadness
Haksızlık.,anger
Bulgu ise diğer insanlar tarafından da fark edilir .,neutral
geçen yıllarda ağaçlandırma çalışmalarının isabet kaydetmesini görmek mutlu etmiştim.,happiness
Hatırlamak hoştur ama yinede özleme bağlı olarak canımı acıtır.,sadness
İstanbul Atatürk stadyumunda amcamı kaybettiğim zaman.,sadness
Bulaşık artıkları.,disgust
Sevgilimle ayrıldığım gün.,sadness
Günümüzde bu kitaplara ulaşmak zor da olsa hala mümkün .,neutral
Köpek.,fear
Olumsuz şeyler yaşamadığım sürece mutluyum.,happiness
Çifte vatandaşlığa sahiptir ve aynı zamanda Türk vatandaşıdır .,neutral
kardeşimle birlikte basketbol oynamaktan çok hoşlanırım,happiness
Ayrıca art arda İki Billboard Yılın Kadın Albüm Sanatçısı ödülünü kazandı .,neutral
İftira atılması ve yalan söylenmesine.,anger
Başarılı olduğum zaman.,happiness
Bu dağlık yörede yüzyıllardır süregelen bir adet vardır .,neutral
Kötü insanlar ölünce ruhlarının bunların arasına karıştığı söylenir .,neutral
Elif'ten ayrıldığım gün çok üzülmüştüm.,sadness
"""Fenerbahçe"" şampiyon olunca tiksiniyorum.",disgust
Sınavlardan korkuyorum.,fear
Arkadaşımın burnundaki sümüğü göstermesinden.,disgust
Kaybolduğum zaman.,fear
Alevi nüfusunu çoğunlukta olduğu mahallede cami bulunmamaktadır .,neutral
Her şeyin güzel gittiği zamanlar.,happiness
Yere balgam atan birisini görmek.,disgust
Kardeşimin bana verdiği terbiyesiz cevaplar.,anger
Yüksek not almak ve oyun oynamak.,happiness
Gece gördüğüm kabustan çok korktum.,fear
Donald çoğunlukla yarı anlaşılır bir konuşmaya sahip olmuştur .,neutral
dergide adımın yanlış yazılmasına çok sinir oldum.,anger
İkinci yüzyılın sonlarına doğru belirgin olmayan bir tarihte kurulduğu düşünülmektedir .,neutral
Balkonda dururken birisi beni ittirmesinden korkarım.,fear
Birden bağıran insanlar.,fear
Sıklıkla hastalıktan vücudun bir yarısı baskın olarak etkilenir .,neutral
İftiraya uğradığım zaman çok öfkelenirim.,anger
Kaymak ve mirza mudanya yakınlarına yerleşmiş onlarda kendi adlarıyla koy kurmuş .,neutral
